Name,Score,Time,Link,Addr
어반플랜트,4.2,매일 10:00 ~ 22:00,https://place.map.kakao.com/447132083,"
서울 마포구 독막로4길 3 1,2층
(지번) 합정동 363-28
"
프릳츠 도화점,3.8,"토,일 10:00 ~ 22:00",https://place.map.kakao.com/24529429,"
서울 마포구 새창로2길 17
(지번) 도화동 179-9
"
피오니 홍대점,3.8,매일 12:00 ~ 21:00,https://place.map.kakao.com/26235884,"
서울 마포구 독막로7길 51 1층
(지번) 서교동 395-78
"
땡스오트 연남점,4.2,매일 11:00 ~ 21:00,https://place.map.kakao.com/966554753,"
서울 마포구 성미산로23길 68
(지번) 연남동 375-113
"
비파티세리 공덕점,4.1,매일 10:00 ~ 22:00,https://place.map.kakao.com/922091993,"
서울 마포구 마포대로14길 4 1층
(지번) 공덕동 105-67
"
레이어드 연남점,2.7,매일 11:00 ~ 23:00,https://place.map.kakao.com/502958473,"
서울 마포구 성미산로 161-4
(지번) 연남동 223-20
"
앤트러사이트 서교점,3.5,매일 09:00 ~ 22:00,https://place.map.kakao.com/657926243,"
서울 마포구 월드컵로12길 11
(지번) 서교동 475-22
"
943킹스크로스,3.7,금~일 11:30 ~ 22:00,https://place.map.kakao.com/53292857,"
서울 마포구 양화로16길 24
(지번) 서교동 369-1
"
포비 합정점,3.7,매일 10:30 ~ 22:30,https://place.map.kakao.com/1513265709,"
서울 마포구 양화로3길 66
(지번) 합정동 426-18
"
당인리책발전소,3.4,매일 10:00 ~ 22:00,https://place.map.kakao.com/123575123,"
서울 마포구 월드컵로14길 10-8 1층
(지번) 서교동 475-26
"
테일러커피 연남1호점,3.8,매일 10:00 ~ 22:00,https://place.map.kakao.com/27508963,"
서울 마포구 성미산로 189 1층
(지번) 연남동 224-41
"
앤트러사이트 합정점,3.5,"월,화,수,목,금,일 09:00 ~ 23:00",https://place.map.kakao.com/12518512,"
서울 마포구 토정로5길 10
(지번) 합정동 357-6
"
1984,3.8,매일 10:00 ~ 24:00,https://place.map.kakao.com/23634722,"
서울 마포구 동교로 194 혜원빌딩 1층
(지번) 동교동 158-24
"
브런치가,2.6,매일 09:00 ~ 23:00,https://place.map.kakao.com/1710643353,"
서울 마포구 월드컵북로4길 39
(지번) 동교동 204-29
"
빈브라더스 합정점,4.3,매일 11:00 ~ 21:00,https://place.map.kakao.com/24855092,"
서울 마포구 토정로 35-1
(지번) 합정동 368-3
"
작당모의,3.2,매일 12:00 ~ 21:00,https://place.map.kakao.com/500916307,"
서울 마포구 동교로32길 19 1층
(지번) 연남동 381-15
"
딩가케이크,2.6,매일 11:30 ~ 21:00,https://place.map.kakao.com/320756645,"
서울 마포구 동교로29길 68
(지번) 연남동 252-18
"
톤앤매너,4.3,매일 12:00 ~ 21:00,https://place.map.kakao.com/1960387368,"
서울 마포구 와우산로29가길 13 1층
(지번) 서교동 337-10
"
카페스콘,3.4,매일 10:00 ~ 22:00,https://place.map.kakao.com/975758911,"
서울 마포구 성미산로 172
(지번) 연남동 239-4
"
카페밤비,3.3,매일 12:00 ~ 21:00,https://place.map.kakao.com/1724856950,"
서울 마포구 동교로9길 36 1층
(지번) 망원동 378-17
"
앤디스커피,3.6,"토,일 11:00 ~ 23:00",https://place.map.kakao.com/1737597646,"
서울 마포구 와우산로35길 75 2층
(지번) 서교동 330-19
"
모아새,3.6,수~일 13:00 ~ 24:00,https://place.map.kakao.com/1419330175,"
서울 마포구 포은로 71 1층
(지번) 망원동 395-17
"
테일러커피 서교점,4.2,매일 11:00 ~ 22:00,https://place.map.kakao.com/27248379,"
서울 마포구 와우산로27길 7 2층
(지번) 서교동 338-1
"
딥블루레이크 커피로스터스,4.2,매일 11:00 ~ 22:00,https://place.map.kakao.com/27481601,"
서울 마포구 포은로6길 11
(지번) 망원동 411-12
"
랑데자뷰 상수점,3.7,매일 12:00 ~ 00:00,https://place.map.kakao.com/1902772928,"
서울 마포구 와우산로13길 49
(지번) 상수동 316-1
"
커피리브레 연남점,3.4,영업시간 매일 11:00 ~ 20:00,https://place.map.kakao.com/11553130,"
서울 마포구 성미산로 200
(지번) 연남동 227-38
"
오츠에스프레소,4.5,"영업시간 토,일 12:00 ~ 20:00",https://place.map.kakao.com/26485620,"
서울 마포구 독막로14길 32 지하 1층
(지번) 상수동 328-2
"
얼스어스,3.8,"월,수,목,금,토,일 12:00 ~ 21:00",https://place.map.kakao.com/111850276,"
서울 마포구 성미산로 150
(지번) 연남동 239-49
"
밤부베이커리&브루잉,3.4,매일 11:00 ~ 22:30,https://place.map.kakao.com/2082554607,"
서울 마포구 월드컵로5길 33-23
(지번) 합정동 386-11
"
커피가게동경,3.6,"월,일요일",https://place.map.kakao.com/20808938,"
서울 마포구 망원로6길 21 지하
(지번) 망원동 410-1
"
오랑지,4.6,"영업시간 월,수,목,금,토,일 12:00 ~ 20:00",https://place.map.kakao.com/1007372949,"
서울 마포구 동교로38길 13 2층
(지번) 연남동 390-71
"
카페요호,4.0,"영업시간 토,일 10:00 ~ 20:00",https://place.map.kakao.com/1248819302,"
서울 마포구 잔다리로 88 1층
(지번) 서교동 459-13
"
콜린,3.7,"월,화,수,목,일 10:30 ~ 01:00",https://place.map.kakao.com/26966842,"
서울 마포구 어울마당로 45 1, 2층
(지번) 서교동 403-13
"
빌리프커피로스터스,3.3,매일 09:30 ~ 23:30,https://place.map.kakao.com/26611450,"
서울 마포구 양화로11길 50 1층
(지번) 서교동 384-3
"
시루케이크,4.4,일요일,https://place.map.kakao.com/436951953,"
서울 마포구 어울마당로1길 18 1층
(지번) 합정동 355-8
"
콩카페 연남점,3.5,매일 11:00 ~ 23:00,https://place.map.kakao.com/1178288045,"
서울 마포구 성미산로 161-14 1층
(지번) 연남동 223-114
"
비트포비아 던전홍대점,4.4,"토,일 10:00 ~ 23:50",https://place.map.kakao.com/1246652450,"
서울 마포구 독막로3길 30
(지번) 서교동 396-46
"
버터밀크,4.0,,https://place.map.kakao.com/26966117,"
서울 마포구 와우산로 130 1층
(지번) 창전동 6-131
"
그레인,4.3,"영업시간 월,목,금,토,일 09:00 ~ 19:00",https://place.map.kakao.com/1450314310,"
서울 마포구 동교로46길 23
(지번) 연남동 385-6
"
아이엠베이글 공덕점,4.4,"영업시간 토,일 09:00 ~ 20:00",https://place.map.kakao.com/27494588,"
서울 마포구 백범로 152 공덕파크자이 101동
(지번) 공덕동 476
"
키쉬미뇽,3.1,매일 10:00 ~ 24:00,https://place.map.kakao.com/71785169,"
서울 마포구 양화로6길 35
(지번) 서교동 394-16
"
공상온도,4.0,매일 12:30 ~ 23:00,https://place.map.kakao.com/27379281,"
서울 마포구 동교로23길 40 지하 1층
(지번) 동교동 203-11
"
이미커피,4.2,수~일 12:00 ~ 21:00,https://place.map.kakao.com/15985522,"
서울 마포구 동교로25길 7 1층
(지번) 동교동 201-10
"
페어,3.7,매일 12:00 ~ 22:00,https://place.map.kakao.com/850695065,"
서울 마포구 잔다리로7안길 23 1층
(지번) 서교동 378-12
"
민트하임,3.9,매일 11:30 ~ 21:00,https://place.map.kakao.com/27515050,"
서울 마포구 잔다리로6길 28
(지번) 서교동 366-28
"
어나더룸 연남,4.0,"토,일 11:00 ~ 21:00",https://place.map.kakao.com/1139651943,"
서울 마포구 성미산로29안길 19-4 1층
(지번) 연남동 241-88
"
브루라티오 홍대점,4.1,매일 09:00 ~ 20:30,https://place.map.kakao.com/1090393616,"
서울 마포구 잔다리로 28 1,2층
(지번) 서교동 367-13
"
카페클로이인패리스,4.7,화~일 11:00 ~ 22:00,https://place.map.kakao.com/745327768,"
서울 마포구 성미산로 190-3 1층
(지번) 연남동 227-24
"
W카페,2.4,"토,일 11:00 ~ 23:00",https://place.map.kakao.com/11933564,"
서울 마포구 동교로25길 16
(지번) 동교동 200-18
"
테일러커피 연남2호점,4.3,매일 11:00 ~ 22:00,https://place.map.kakao.com/1840810990,"
서울 마포구 성미산로 187 1, 2층
(지번) 연남동 224-57
"
디벙크,4.4,일 11:00 ~ 21:00,https://place.map.kakao.com/1040119941,"
서울 마포구 성지1길 30 더보이드빌딩 지하1층
(지번) 합정동 366-1
"
무대륙,3.6,매일 11:00 ~ 01:00,https://place.map.kakao.com/7876611,"
서울 마포구 토정로5길 12
(지번) 합정동 357-7
"
카페 지금여기,3.7,영업시간 매일 11:00 ~ 20:00,https://place.map.kakao.com/36768345,"
서울 마포구 양화로16길 30-5 3층
(지번) 서교동 369-42
"
랑데자뷰 서교점,4.0,일 11:00 ~ 23:00,https://place.map.kakao.com/1534890108,"
서울 마포구 월드컵북로5길 53
(지번) 서교동 460-2
"
미완성식탁,3.5,영업시간 일 12:30 ~ 19:00,https://place.map.kakao.com/27373298,"
서울 마포구 망원로6길 37
(지번) 망원동 404-32
"
카페장쌤,3.7,화~일 12:00 ~ 21:00,https://place.map.kakao.com/15612278,"
서울 마포구 와우산로29마길 5
(지번) 서교동 333-30
"
연남방앗간,3.2,"토,일 12:00 ~ 22:00",https://place.map.kakao.com/996972400,"
서울 마포구 동교로29길 34 1층
(지번) 연남동 257-22
"
금옥당,3.9,화~일 11:00 ~ 21:00,https://place.map.kakao.com/1873235516,"
서울 마포구 어울마당로 39 1층
(지번) 서교동 402-18
"
르쁘띠푸 홍대본점,3.6,일 13:00 ~ 22:00,https://place.map.kakao.com/10361948,"
서울 마포구 와우산로 62 삼애빌딩 2층
(지번) 상수동 86-37
"
그레이랩,3.5,"토,일 12:00 ~ 22:00",https://place.map.kakao.com/1910296426,"
서울 마포구 토정로3길 16
(지번) 합정동 367-9
"
제비다방,4.3,매일 11:00 ~ 02:00,https://place.map.kakao.com/27194461,"
서울 마포구 와우산로 24
(지번) 상수동 330-12
"
광합성카페,4.0,영업시간 일 11:00 ~ 20:00,https://place.map.kakao.com/1185919020,"
서울 마포구 월드컵로19길 8 1층
(지번) 망원동 57-36
"
서울이스케이프룸 홍대2호점,3.0,,https://place.map.kakao.com/1351400084,"
서울 마포구 와우산로17길 11 코스모스빌딩 3층
(지번) 서교동 410-9
"
샌드커피 논탄토,4.3,매일 11:00 ~ 23:00,https://place.map.kakao.com/1922103551,"
서울 마포구 동교로 212-16 1층
(지번) 동교동 153-14
"
그로토,4.0,매일 11:00 ~ 21:00,https://place.map.kakao.com/476059630,"
서울 마포구 새창로4길 9 지하1층
(지번) 도화동 184-22
"
러빈허 플라워&갤러리 카페,4.1,매일 10:30 ~ 23:00,https://place.map.kakao.com/2014990648,"
서울 마포구 신촌로6길 22
(지번) 동교동 177-12
"
씨스루 홍대연남점,4.2,매일 12:00 ~ 22:00,https://place.map.kakao.com/717607875,"
서울 마포구 동교로 266-6 1층
(지번) 연남동 387-3
"
히어로보드게임카페 홍대1호점,4.7,"토,일 13:00 ~ 01:00",https://place.map.kakao.com/13623634,"
서울 마포구 와우산로21길 31-10 2층
(지번) 서교동 364-22
"
카페 사운드웨이브,5.0,영업시간 매일 11:00 ~ 20:00,https://place.map.kakao.com/1985941727,"
서울 마포구 독막로3길 24 3층
(지번) 서교동 396-29
"
허밍벨라,3.2,"월,화,수,목,일 11:00 ~ 24:00",https://place.map.kakao.com/24532689,"
서울 마포구 독막로7길 57
(지번) 서교동 395-199
"
모리츠플라츠,4.1,매일 12:00 ~ 23:00,https://place.map.kakao.com/1140900586,"
서울 마포구 와우산로 174 1층
(지번) 동교동 184-17
"
커피냅로스터스 연남동,4.2,매일 09:00 ~ 22:00,https://place.map.kakao.com/712401118,"
서울 마포구 성미산로27길 70
(지번) 연남동 453-32
"
